Variable,Description,Category,AlwaysChecked
ints.person_answering,Person answering interrogatories?,Tenancy,TRUE
ints.owners,Who owns the property?,Tenancy,
ints.household_members,Who lives in the household?,Tenancy,
ints.tenancy_terms,Describe terms of the tenancy?,Tenancy,TRUE
ints.eviction_reasons,Reasons for the eviction?,Landlord's Claims,TRUE
ints.persons_with_knowledge,People who have information about claims/defenses?,Landlord's Claims,
ints.witnesses,Witnesses Landlord intends to call?,Landlord's Claims,
ints.rent_owed,Rent owed?,Landlord's Claims,
ints.rent_paid_after_ntq,Rent paid after the NTQ?,Landlord's Claims,
ints.third_party_payment,Any payments by third parties?,Landlord's Claims,
ints.rent_increase_request,Any request to increase rent?,Landlord's Claims,
ints.subsidized_housing_basic_facts,Basic subsidy facts.,Subsidized Housing,
ints.subsidized_housing_rent_increase_request,Requests to increase rent?,Subsidized Housing,
ints.steps_for_termination,Steps taken to terminate tenancy?,Subsidized Housing,
ints.bad_conditions_need_for_repair,How did you learn about bad conditions?,Problems with the Apartment/Building,
ints.bad_conditions_inspections,Describe inspections.,Problems with the Apartment/Building,
ints.bad_conditions_prepurchase_inspections,Describe prepurchase inspections.,Problems with the Apartment/Building,
ints.bad_conditions_attempted_repairs,Any repairs by landlord?,Problems with the Apartment/Building,
ints.lead_paint,Lead paint?,Problems with the Apartment/Building,
ints.bad_conditions_tenant_damaged,Any damage caused by tenant?,Problems with the Apartment/Building,
ints.bad_conditions_tenant_hindered,Did tenant hinder repairs?,Problems with the Apartment/Building,
ints.bad_conditions_landlord_entered_premises,All times landlord entered apartment.,Problems with the Apartment/Building,
ints.bad_conditions_describe_maintenance,Maintenance and management of the building.,Problems with the Apartment/Building,
ints.security_deposit_last_months_rent,Security deposit or last month's rent?,Security Deposit,
ints.utilities_written_agreement,Written agreement to pay utilities?,Utilities,
ints.utilities_shutoff,Shutoff of utilities?,Utilities,
ints.utilities_common_area_accounts,All common area utility accounts.,Utilities,
ints.utilities_outside_unit,Any utilities Tenant pays for outside of unit?,Utilities,
ints.all_property_owned,Property owned by landlord.,Facts about the landlord,
ints.describe_trust,Description of Trust if Landlord is a trust.,Facts about the landlord,
ints.disability_knowledge,Knowledge of disability.,Disability,
ints.disability_ra,Reasonable accommodation request.,Disability,
ints.disability_ra_response,Response to accommodation request.,Disability,
ints.disability_ra_reasonable,Is the requested accommodation request reasonable?,Disability,
ints.retaliation,Retaliation?,Other,
ints.discrimination_subsidy_receipt,Request to accept subsidy?,Other,
ints.describe_conversations,Describe conversations with Tenant.,Other,
ints.rental_value,Fair rental value (to measure damages)?,Other,
ints.condo_or_coop,"Condo rules, or planned condo/coop conversion?",Other,
drq.rental_documents,All rental documents.,Tenancy,
drq.household_members,Who lives in the household?,Tenancy,
drq.rent_payment_records,Rent payment records.,Tenancy,
drq.other_records,Other payment records.,Tenancy,
drq.documents_from_predecessor,Documents from former owner.,Tenancy,
drq.landlords_purchase,Documents from landlord's purchase.,Tenancy,
drq.notices_to_quit,Notices to quit.,Tenancy,
drq.complaints,Complaints about the tenant.,Tenancy,
drq.third_party_payment,Payments by third parties.,Tenancy,
drq.dta,Department of transitional assistance.,Tenancy,
drq.all_related_to_eviction_reason,Reason for eviction.,Tenancy,
drq.all_related_to_claims,Documents related to all claims/defenses.,Tenancy,
drq.all_docs_for_trial,All documents used for trial.,Tenancy,
drq.subsidized_housing_describe_subsidy,Documents describing subsidy.,Subsidized Housing,
drq.discrimination_subsidy_receipt,Request to accept subsidy.,Subsidized Housing,
drq.subsidized_housing_rent_calculation,Rent calculations.,Subsidized Housing,
drq.subsidized_housing_tenant_file,Contents of tenant file.,Subsidized Housing,
drq.subsidized_housing_rent_increase_request,Requests to increase rent.,Subsidized Housing,
drq.subsidized_housing_grievance,Grievance hearings/informal conferences.,Subsidized Housing,
drq.subsidized_housing_communication_with_pha,Written communication with housign authority or agencies.,Subsidized Housing,
drq.subsidized_housing_use_restrictions,Use restrictions / conditions on property.,Subsidized Housing,
drq.bad_conditions_notice_of_inspection,Notices about inspections.,Problems with the Apartment/Building,
drq.bad_conditions_photos,Photos of conditions.,Problems with the Apartment/Building,
drq.lead_paint,Lead paint.,Problems with the Apartment/Building,
drq.bad_conditions_inspections,Inspection records.,Problems with the Apartment/Building,
drq.bad_conditions_repairs,Attempts to repair.,Problems with the Apartment/Building,
drq.rental_value,Fair rental value of the property.,Problems with the Apartment/Building,
drq.security_deposit_last_months_rent,Security deposit or last month's rent.,Security Deposit,
drq.utilities_written_agreement,Written agreements to pay utilities.,Utilities,
drq.utilities_shutoff,Shutoff of utilities.,Utilities,
drq.utilities_common_area_accounts,Records of common area utility accounts.,Utilities,
drq.utilities_outside_unit,Records for utilities for areas outside of the unit.,Utilities,
drq.disability_ra_request,Requests for reasonable accommodation.,Disability,
drq.disability_ra_burdensome,Documents showing the accommodation is burdensome.,Disability,
drq.disability_ra_reasonable,Documents showing the accommodation is unreasonable.,Disability,
drq.disability_ra_plan,Landlord's reasonable accommodation plan.,Disability,
drq.lep_plan,Landlord's plan for limited English proficiency.,Other,
drq.dv,Documents relating to domestic violence.,Other,
drq.harassment,Sexual harassment.,Other,
drq.fault,Basis for lease or tennacy terms violation.,Other,
drq.condo_conversion,Condo conversion or condo rules.,Other,
drq.insurance,Insurance for the property.,Other,
drq.management,Management of the property.,Other,
drq.maintenance,Maintenance of the property.,Other,
drq.lawsuits,Lawsuits relating to the property.,Other,
drq.all_letters,All letters and written communications between Landlord and Tenant.,Tenancy,TRUE
